산업,산업2,광고제목,광고부제목,날짜,링크
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 폴드3,우리 새로 활짝,2022.06.13,https://play.tvcf.co.kr/874851
정보통신,휴대폰/통신기기,삼성 갤럭시,Wireless PowerShare,2022.06.12,https://play.tvcf.co.kr/874842
정보통신,휴대폰/통신기기,삼성 갤럭시,Bright Display,2022.06.12,https://play.tvcf.co.kr/874839
정보통신,휴대폰/통신기기,에어팟,공간 음향 탑재,2022.06.12,https://play.tvcf.co.kr/874832
정보통신,휴대폰/통신기기,삼성 갤럭시 워치4,"Music, payments and even more, right on your wrist",2022.06.03,https://play.tvcf.co.kr/873674
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 이루다_새롭게 바라보는 순간,2022.06.03,https://play.tvcf.co.kr/873515
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 이루다_리얼하게 포착하는 순간,2022.06.02,https://play.tvcf.co.kr/873514
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 이루다_사랑을 담아내는 순간,2022.06.02,https://play.tvcf.co.kr/873512
정보통신,휴대폰/통신기기,아이폰,개인 정보 보호_당신의 데이터,2022.05.24,https://play.tvcf.co.kr/872510
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 폴드3,나를 새로 활짝,2022.05.16,https://play.tvcf.co.kr/871545
정보통신,휴대폰/통신기기,배민로봇 딜리,광교 주민,2022.05.12,https://play.tvcf.co.kr/871035
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,콘텐츠 페스타 리얼 모먼트_너만의 특별한 순간을 남길 시간,2022.04.22,https://play.tvcf.co.kr/868387
정보통신,휴대폰/통신기기,삼성전자,Multi-device experience : Wokr from home,2022.04.18,https://play.tvcf.co.kr/867993
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,프로덕션522 EP.7,2022.04.18,https://play.tvcf.co.kr/867970
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,콘텐츠 페스타 리얼 모먼트_너만의 특별한 순간을 남길 시간,2022.04.14,https://play.tvcf.co.kr/867571
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,콘텐츠 페스타 리얼 모먼트_너만의 특별한 순간을 남길 시간,2022.04.13,https://play.tvcf.co.kr/867483
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,콘텐츠 페스타 리얼 모먼트_너만의 특별한 순간을 남길 시간,2022.04.12,https://play.tvcf.co.kr/867308
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,콘텐츠 페스타 리얼 모먼트,2022.04.11,https://play.tvcf.co.kr/867248
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 최신혜,2022.04.07,https://play.tvcf.co.kr/866697
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 최신혜,2022.04.07,https://play.tvcf.co.kr/866698
정보통신,휴대폰/통신기기,삼성 프라이버시,You're in control,2022.03.28,https://play.tvcf.co.kr/865244
정보통신,휴대폰/통신기기,삼성 갤럭시 A,What are you doing?,2022.03.24,https://play.tvcf.co.kr/865070
정보통신,휴대폰/통신기기,삼성 갤럭시 워치 4,Wear a new look every day,2022.03.22,https://play.tvcf.co.kr/864796
정보통신,휴대폰/통신기기,삼성 갤럭시 워치4,Track how your body improves,2022.03.22,https://play.tvcf.co.kr/864798
정보통신,휴대폰/통신기기,삼성 갤럭시 워치4,Find out your sleep type and improve your sleep,2022.03.22,https://play.tvcf.co.kr/864797
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 오지현,2022.03.22,https://play.tvcf.co.kr/864757
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 박금종,2022.03.22,https://play.tvcf.co.kr/864750
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 박지은,2022.03.22,https://play.tvcf.co.kr/864749
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 임예솔,2022.03.22,https://play.tvcf.co.kr/864747
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 천재원,2022.03.21,https://play.tvcf.co.kr/864613
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,프로덕션522 EP.6,2022.03.21,https://play.tvcf.co.kr/864580
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,프로덕션522 솔루션 스튜디오 EP.5,2022.03.21,https://play.tvcf.co.kr/864579
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,프로덕션522 솔루션 스튜디오 EP.4,2022.03.21,https://play.tvcf.co.kr/864578
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 천재원,2022.03.20,https://play.tvcf.co.kr/864555
정보통신,휴대폰/통신기기,아이폰 13 Pro & 아이폰 13,초록으로 물들다,2022.03.20,https://play.tvcf.co.kr/864559
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,어둠을 생생하게 밝히다,2022.03.17,https://play.tvcf.co.kr/864313
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,프로덕션522 딜리버리 EP.5,2022.03.15,https://play.tvcf.co.kr/864073
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 김선자 (디지털),2022.03.15,https://play.tvcf.co.kr/864053
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,쭉 이어 활짝 김선자,2022.03.13,https://play.tvcf.co.kr/863824
정보통신,휴대폰/통신기기,아이폰 13 Pro,박찬욱 감독이 펼치는 일장춘몽,2022.03.07,https://play.tvcf.co.kr/863050
정보통신,휴대폰/통신기기,삼성전자 갤럭시 S22,프로덕션522 딜리버리 EP.4,2022.03.02,https://play.tvcf.co.kr/861980
